TYR	OH	-0.54	2.104290	OH1
TYR	HH	0.43	0.671612	H
TYR	CD2	-0.12	2.310455	CA
TYR	HD2	0.12	1.722551	HP
TYR	CE2	-0.12	2.310455	CA
TYR	HE2	0.12	1.722551	HP
TYR	C	0.51	2.317500	C
TYR	O	-0.51	2.039400	O
VAL	N	-0.47	2.178450	NH1
VAL	HN	0.31	0.671612	H
VAL	CA	0.07	2.317500	CT1
VAL	HA	0.09	1.687140	HB1
VAL	CB	-0.09	2.317500	CT1
VAL	HB	0.09	1.705680	HA1
VAL	CG1	-0.27	2.354580	CT3
VAL	HG11	0.09	1.705680	HA3
VAL	HG12	0.09	1.705680	HA3
VAL	HG13	0.09	1.705680	HA3
VAL	CG2	-0.27	2.354580	CT3
VAL	HG21	0.09	1.705680	HA3
VAL	HG22	0.09	1.705680	HA3
VAL	HG23	0.09	1.705680	HA3
VAL	C	0.51	2.317500	C
VAL	O	-0.51	2.039400	O
ALAD	CL	-0.27	2.354580	CT3
ALAD	HL1	0.09	1.705680	HA3
ALAD	HL2	0.09	1.705680	HA3
ALAD	HL3	0.09	1.705680	HA3
ALAD	CLP	0.51	2.317500	C
ALAD	OL	-0.51	2.039400	O
ALAD	NL	-0.47	2.178450	NH1
ALAD	HL	0.31	0.671612	H
ALAD	CA	0.07	2.317500	CT1
ALAD	HA	0.09	1.687140	HB1
ALAD	CB	-0.27	2.354580	CT3
ALAD	HB1	0.09	1.705680	HA3
ALAD	HB2	0.09	1.705680	HA3
ALAD	HB3	0.09	1.705680	HA3
ALAD	CRP	0.51	2.317500	C
ALAD	OR	-0.51	2.039400	O
ALAD	NR	-0.47	2.178450	NH1
ALAD	HR	0.31	0.671612	H
ALAD	CR	-0.11	2.354580	CT3
ALAD	HR1	0.09	1.705680	HA3
ALAD	HR2	0.09	1.705680	HA3
ALAD	HR3	0.09	1.705680	HA3
NTER	N	-0.30	2.178450	NH3
NTER	HT1	0.33	0.671612	HC
NTER	HT2	0.33	0.671612	HC
NTER	HT3	0.33	0.671612	HC
NTER	CA	0.21	2.317500	CT1
NTER	HA	0.10	1.687140	HB1
GLYP	N	-0.30	2.178450	NH3
